Anbieter,Typ,Wert,Zeitraum
Energieversorgung,Grundpreis,"214,14 €/Jahr",01.01.2025
Stadtwerke Munter-Bispingen,Arbeitspreis,Unbekannt,Unbekannt
Stadtwerke Munter-Bispingen,Grundpreis,Unbekannt,Unbekannt
E.ON Rinteln,Arbeitspreis,"13,71 ct/kWh",01.01.2025
E.ON Rinteln,Grundpreis,"188,92 €/Jahr",01.01.2025
Stadtwerke Peine,Arbeitspreis,"12,16 ct/kWh",01.01.2025
Stadtwerke Peine,Grundpreis,"160,51 €/Jahr",01.01.2025
Harz Energie,Arbeitspreis,"13,36 ct/kWh",01.01.2025
Harz Energie,Grundpreis,"171,36 €/Jahr",01.01.2025
Energieversorgung Dahlenburg-Bleckede,Arbeitspreis,"12,98 ct/kWh",01.01.2025
Energieversorgung Dahlenburg-Bleckede,Grundpreis,"260,51 €/Jahr",01.01.2025
E.ON Hann Münden,Arbeitspreis,"13,52 ct/kWh",01.01.2025
E.ON Hann Münden,Grundpreis,"140,42 €/Jahr",01.01.2025
Stadtwerke Garbsen,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Garbsen,Grundpreis,"166,60 €/Jahr",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Grundpreis,"157,09 €/Jahr",01.01.2025
E.ON Duderstadt,Arbeitspreis,"13,36 ct/kWh",01.01.2025
E.ON Duderstadt,Grundpreis,"171,36 €/Jahr",01.01.2025
Teutoburger Energie Netzwerk,Arbeitspreis,"13,97 ct/kWh",01.01.2025
Teutoburger Energie Netzwerk,Grundpreis,"269,06 €/Jahr",01.01.2025
Energiegesoffenschaft für Wittmund,Arbeitspreis,"11,76 ct/kWh",01.02.2025
Energiegesoffenschaft für Wittmund,Grundpreis,"253,39 €/Jahr",01.02.2025
EVB Huntetal,Arbeitspreis,"11,86 ct/kWh",01.01.2025
EVB Huntetal,Grundpreis,"171,36 €/Jahr",01.01.2025
Stadtwerke Böhmetal,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Böhmetal,Grundpreis,"107,10 €/Jahr",01.01.2025
Stadtwerke Hameln,Arbeitspreis,"11,70 ct/kWh",01.02.2025
Stadtwerke Hameln,Grundpreis,"95,82 €/Jahr",01.02.2025
Stadtwerke Buchholz,Arbeitspreis,"11,88 ct/kWh",01.03.2025
Stadtwerke Buchholz,Grundpreis,"124,95 €/Jahr",01.03.2025
Stadtwerke Bramsche,Arbeitspreis,"11,10 ct/kWh",01.01.2025
Stadtwerke Bramsche,Grundpreis,"109,53 €/Jahr",01.01.2025
Stadtwerke Soltau,Arbeitspreis,"13,63 ct/kWh",01.03.2025
Stadtwerke Soltau,Grundpreis,"126,95 €/Jahr",01.03.2025
Stadtwerke Verden,Arbeitspreis,"11,98 ct/kWh",01.01.2025
Stadtwerke Verden,Grundpreis,"76,66 €/Jahr",01.01.2025
Nordseeheilbad Borkum,Arbeitspreis,Unbekannt,Unbekannt
Nordseeheilbad Borkum,Grundpreis,Unbekannt,Unbekannt
Stadtwerke Burgdorf,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Burgdorf,Grundpreis,"147,66 €/Jahr",01.01.2025
Stadtwerke Schaumburg-Lippe,Arbeitspreis,"12,20 ct/kWh",01.01.2025
Stadtwerke Schaumburg-Lippe,Grundpreis,"114,24 €/Jahr",01.01.2025
Gemeindewerke Bovenden,Arbeitspreis,"12,90 ct/kWh",01.01.2025
Gemeindewerke Bovenden,Grundpreis,"149,94 €/Jahr",01.01.2025
Energiewerke Isernhagen,Arbeitspreis,"11,31 ct/kWh",01.01.2025
Energiewerke Isernhagen,Grundpreis,"162,17 €/Jahr",01.01.2025
Stadtwerke Einbeck,Arbeitspreis,"13,03 ct/kWh",01.01.2025
Stadtwerke Einbeck,Grundpreis,"174,24 €/Jahr",01.01.2025
Stadtwerke Lüdenscheid,Arbeitspreis,"12,77 ct/kWh",01.02.2025
Stadtwerke Lüdenscheid,Grundpreis,"173,44 €/Jahr",01.02.2025
Stadtwerke Lippstadt,Arbeitspreis,"10,94 ct/kWh",01.01.2025
Stadtwerke Lippstadt,Grundpreis,"160,50 €/Jahr",01.01.2025
Stadtwerke gas Plauen,Arbeitspreis,"14,68 ct/kWh",01.12.2023
Stadtwerke gas Plauen,Grundpreis,"201,36 €/Jahr",01.12.2023
Elektrizitätswerk Mittelbaden,Arbeitspreis,"12,29 ct/kWh",01.03.2025
Elektrizitätswerk Mittelbaden,Grundpreis,"140,94 €/Jahr",01.03.2025
Stadtwerke Sindelfingen,Arbeitspreis,"11,77 ct/kWh",01.01.2025
Stadtwerke Sindelfingen,Grundpreis,"174,93 €/Jahr",01.01.2025
Hertener Stadtwerke,Arbeitspreis,"11,71 ct/kWh",01.11.2024
Hertener Stadtwerke,Grundpreis,"172,67 €/Jahr",01.11.2024
Energieversorung Filstal,Arbeitspreis,"8,98 ct/kWh",01.01.2025
Energieversorung Filstal,Grundpreis,"173,74 €/Jahr",01.01.2025
Stadtwerke Waiblingen,Arbeitspreis,"13,67 ct/kWh",01.11.2024
Stadtwerke Waiblingen,Grundpreis,"178,50 €/Jahr",01.11.2024
Energie-Rhein-Sieg,Arbeitspreis,"16,93 ct/kWh",01.04.2024
Energie-Rhein-Sieg,Grundpreis,"179,93 €/Jahr",01.04.2024
Stadtwerke Görlitz,Arbeitspreis,"14,99 ct/kWh",01.01.2025
Stadtwerke Görlitz,Grundpreis,"108,53 €/Jahr",01.01.2025
Stadtwerke Speyer,Arbeitspreis,"13,44 ct/kWh",01.01.2025
Stadtwerke Speyer,Grundpreis,"133,84 €/Jahr",01.01.2025
Stadtwerke Willich,Arbeitspreis,"14,16 ct/kWh",01.04.2024
Stadtwerke Willich,Grundpreis,"264,18 €/Jahr",01.04.2024
