Anbieter,Typ,Wert,Zeitraum
E.ON Dortmund,Grundpreis,"298,69 €/Jahr",01.01.2025
DREWAG (Dresden),Arbeitspreis,"17,11 ct/kWh",01.04.2025
DREWAG (Dresden),Grundpreis,"64,02 €/Jahr",01.04.2025
E.ON Energie,Arbeitspreis,"12,98 ct/kWh",01.01.2025
E.ON Energie,Grundpreis,"260,51 €/Jahr",01.01.2025
Stadtwerke Duisburg,Arbeitspreis,"16,34 ct/kWh",01.01.2025
Stadtwerke Duisburg,Grundpreis,"258,55 €/Jahr",01.01.2025
AVU Aktiengesellschaft,Arbeitspreis,"12,53 ct/kWh",01.12.2023
AVU Aktiengesellschaft,Grundpreis,"252,53 €/Jahr",01.12.2023
Emscher Lippe energie,Arbeitspreis,"12,61 ct/kWh",01.01.2025
Emscher Lippe energie,Grundpreis,"210,51 €/Jahr",01.01.2025
STAWAG (Aachen),Arbeitspreis,"13,16 ct/kWh",01.01.2025
STAWAG (Aachen),Grundpreis,"141,25 €/Jahr",01.01.2025
Braunschweiger Versorgung,Arbeitspreis,"14,06 ct/kWh",01.01.2025
Braunschweiger Versorgung,Grundpreis,"137,99 €/Jahr",01.01.2025
Städtische Werke Magdeburg,Arbeitspreis,"11,98 ct/kWh",01.04.2024
Städtische Werke Magdeburg,Grundpreis,"103,53 €/Jahr",01.04.2024
EVH,Arbeitspreis,"12,57 ct/kWh",01.01.2025
EVH,Grundpreis,"192,09 €/Jahr",01.01.2025
TWO,Arbeitspreis,"12,14 ct/kWh",01.01.2025
TWO,Grundpreis,"116,86 €/Jahr",01.01.2025
SWE Energie (Erfurt),Arbeitspreis,"15,67 ct/kWh",01.01.2025
SWE Energie (Erfurt),Grundpreis,"133,23 €/Jahr",01.01.2025
Stadtwerke Lübeck,Arbeitspreis,"13,30 ct/kWh",01.04.2024
Stadtwerke Lübeck,Grundpreis,"115,95 €/Jahr",01.04.2024
Energieversorgung Oberhausen AG,Arbeitspreis,"13,09 ct/kWh",01.01.2025
Energieversorgung Oberhausen AG,Grundpreis,"180,00 €/Jahr",01.01.2025
Stadtwerke Rostock,Arbeitspreis,"14,10 ct/kWh",01.01.2025
Stadtwerke Rostock,Grundpreis,"213,21 €/Jahr",01.01.2025
Mark-E,Arbeitspreis,"12,65 ct/kWh",01.02.2025
Mark-E,Grundpreis,"155,59 €/Jahr",01.02.2025
Energie und Wasser Potsdam,Arbeitspreis,"14,55 ct/kWh",01.01.2025
Energie und Wasser Potsdam,Grundpreis,"135,23 €/Jahr",01.01.2025
SaarLorLux,Arbeitspreis,"14,46 ct/kWh",01.01.2025
SaarLorLux,Grundpreis,"84,91 €/Jahr",01.01.2025
Stadtwerke Hamm,Arbeitspreis,"11,29 ct/kWh",01.04.2024
Stadtwerke Hamm,Grundpreis,"145,66 €/Jahr",01.04.2024
Energieversorgung Leverkusen,Arbeitspreis,"14,45 ct/kWh",01.01.2025
Energieversorgung Leverkusen,Grundpreis,"209,44 €/Jahr",01.01.2025
LSW Energie (Wolfsburg),Arbeitspreis,"9,94 ct/kWh",01.01.2025
LSW Energie (Wolfsburg),Grundpreis,"167,79 €/Jahr",01.01.2025
WEVG Salzgitter,Arbeitspreis,"12,48 ct/kWh",01.05.2024
WEVG Salzgitter,Grundpreis,"151,94 €/Jahr",01.05.2024
SVO Vertrieb,Arbeitspreis,"12,32 ct/kWh",01.07.2024
SVO Vertrieb,Grundpreis,"147,66 €/Jahr",01.07.2024
Stadtwerke Bad Harzburg,Arbeitspreis,"13,29 ct/kWh",01.01.2025
Stadtwerke Bad Harzburg,Grundpreis,"197,06 €/Jahr",01.01.2025
Energieversorgung Sehnde,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Energieversorgung Sehnde,Grundpreis,"164,22 €/Jahr",01.01.2025
Energieversorgung Hildesheim,Arbeitspreis,"12,95 ct/kWh",01.01.2025
Energieversorgung Hildesheim,Grundpreis,"214,14 €/Jahr",01.01.2025
Stadtwerke Rinteln,Arbeitspreis,"13,71 ct/kWh",01.01.2025
Stadtwerke Rinteln,Grundpreis,"188,92 €/Jahr",01.01.2025
Stadtwerke Peine,Arbeitspreis,"12,16 ct/kWh",01.01.2025
Stadtwerke Peine,Grundpreis,"160,51 €/Jahr",01.01.2025
Harz Energie,Arbeitspreis,"13,36 ct/kWh",01.01.2025
Harz Energie,Grundpreis,"171,36 €/Jahr",01.01.2025
E.ON Bleckede,Arbeitspreis,"12,98 ct/kWh",01.01.2025
E.ON Bleckede,Grundpreis,"260,51 €/Jahr",01.01.2025
Versorgungsbetriebe Hann Münden,Arbeitspreis,"13,52 ct/kWh",01.01.2025
Versorgungsbetriebe Hann Münden,Grundpreis,"140,42 €/Jahr",01.01.2025
Stadtwerke Garbsen,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Garbsen,Grundpreis,"166,60 €/Jahr",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Grundpreis,"157,09 €/Jahr",01.01.2025
E.ON Teutoburg,Arbeitspreis,"13,97 ct/kWh",01.01.2025
E.ON Teutoburg,Grundpreis,"269,06 €/Jahr",01.01.2025
EVB Huntetal,Arbeitspreis,"11,86 ct/kWh",01.01.2025
EVB Huntetal,Grundpreis,"171,36 €/Jahr",01.01.2025
Stadtwerke Böhmetal,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Böhmetal,Grundpreis,"107,10 €/Jahr",01.01.2025
Stadtwerke Hameln,Arbeitspreis,"11,70 ct/kWh",01.02.2025
Stadtwerke Hameln,Grundpreis,"95,82 €/Jahr",01.02.2025
Stadtwerke Buchholz,Arbeitspreis,"11,88 ct/kWh",01.03.2025
Stadtwerke Buchholz,Grundpreis,"124,95 €/Jahr",01.03.2025
Stadtwerke Bramsche,Arbeitspreis,"11,10 ct/kWh",01.01.2025
Stadtwerke Bramsche,Grundpreis,"109,53 €/Jahr",01.01.2025
Stadtwerke Soltau,Arbeitspreis,"13,63 ct/kWh",01.03.2025
Stadtwerke Soltau,Grundpreis,"126,95 €/Jahr",01.03.2025
Stadtwerke Verden,Arbeitspreis,"11,98 ct/kWh",01.01.2025
Stadtwerke Verden,Grundpreis,"76,66 €/Jahr",01.01.2025
Stadtwerke Burgdorf,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Burgdorf,Grundpreis,"147,66 €/Jahr",01.01.2025
Stadtwerke Schaumburg-Lippe,Arbeitspreis,"12,20 ct/kWh",01.01.2025
Stadtwerke Schaumburg-Lippe,Grundpreis,"114,24 €/Jahr",01.01.2025
Gemeindewerke Bovenden,Arbeitspreis,"12,90 ct/kWh",01.01.2025
Gemeindewerke Bovenden,Grundpreis,"149,94 €/Jahr",01.01.2025
Energiewerke Isernhagen,Arbeitspreis,"11,31 ct/kWh",01.01.2025
Energiewerke Isernhagen,Grundpreis,"162,17 €/Jahr",01.01.2025
Stadtwerke Einbeck,Arbeitspreis,"13,03 ct/kWh",01.01.2025
Stadtwerke Einbeck,Grundpreis,"174,24 €/Jahr",01.01.2025
Stadtwerke Lüdenscheid,Arbeitspreis,"12,77 ct/kWh",01.02.2025
Stadtwerke Lüdenscheid,Grundpreis,"173,44 €/Jahr",01.02.2025
Stadtwerke Lippstadt,Arbeitspreis,"10,94 ct/kWh",01.01.2025
Stadtwerke Lippstadt,Grundpreis,"160,50 €/Jahr",01.01.2025
Eins energie in Sachsen,Arbeitspreis,"14,68 ct/kWh",01.12.2023
Eins energie in Sachsen,Grundpreis,"201,36 €/Jahr",01.12.2023
Stadtwerke Sindelfingen,Arbeitspreis,"11,77 ct/kWh",01.01.2025
Stadtwerke Sindelfingen,Grundpreis,"174,93 €/Jahr",01.01.2025
Hertener Stadtwerke,Arbeitspreis,"11,71 ct/kWh",01.11.2024
Hertener Stadtwerke,Grundpreis,"172,67 €/Jahr",01.11.2024
Energieversorung Filstal,Arbeitspreis,"8,98 ct/kWh",01.01.2025
Energieversorung Filstal,Grundpreis,"173,74 €/Jahr",01.01.2025
Stadtwerke Waiblingen,Arbeitspreis,"13,67 ct/kWh",01.11.2024
Stadtwerke Waiblingen,Grundpreis,"178,50 €/Jahr",01.11.2024
henag Rheinische Energie,Arbeitspreis,"16,93 ct/kWh",01.04.2024
henag Rheinische Energie,Grundpreis,"179,93 €/Jahr",01.04.2024
Gasversorgung Görlitz,Arbeitspreis,"14,99 ct/kWh",01.01.2025
Gasversorgung Görlitz,Grundpreis,"108,53 €/Jahr",01.01.2025
Stadtwerke Speyer,Arbeitspreis,"13,44 ct/kWh",01.01.2025
Stadtwerke Speyer,Grundpreis,"133,84 €/Jahr",01.01.2025
Stadtwerke Willich,Arbeitspreis,"14,16 ct/kWh",01.04.2024
Stadtwerke Willich,Grundpreis,"264,18 €/Jahr",01.04.2024
NEW,Arbeitspreis,"14,25 ct/kWh",01.06.2024
NEW,Grundpreis,"125,24 €/Jahr",01.06.2024
Stadtwerke Husum,Arbeitspreis,"14,58 ct/kWh",01.08.2024
Stadtwerke Husum,Grundpreis,"202,30 €/Jahr",01.08.2024
Stadtwerke Döbeln,Arbeitspreis,"13,59 ct/kWh",01.01.2025
Stadtwerke Döbeln,Grundpreis,"87,88 €/Jahr",01.01.2025
Stadtwerke Senftenberg,Arbeitspreis,"12,10 ct/kWh",01.01.2025
Stadtwerke Senftenberg,Grundpreis,"94,02 €/Jahr",01.01.2025
BIGGE Energie,Arbeitspreis,"13,76 ct/kWh",01.02.2025
BIGGE Energie,Grundpreis,"171,36 €/Jahr",01.02.2025
Kraft und Wasserwerke Kitzingen,Arbeitspreis,"15,47 ct/kWh",01.01.2025
Kraft und Wasserwerke Kitzingen,Grundpreis,"142,81 €/Jahr",01.01.2025
ENTEGA PLUS,Arbeitspreis,"12,86 ct/kWh",01.04.2025
ENTEGA PLUS,Grundpreis,"228,00 €/Jahr",01.04.2025
E.ON Warburg,Arbeitspreis,"11,77 ct/kWh",01.01.2025
E.ON Warburg,Grundpreis,"192,38 €/Jahr",01.01.2025
Gasversorgung Main-Kinzig,Arbeitspreis,"13,20 ct/kWh",01.04.2025
Gasversorgung Main-Kinzig,Grundpreis,"210,49 €/Jahr",01.04.2025
Energie Waldeck-Frankenberg,Arbeitspreis,"13,09 ct/kWh",01.01.2025
Energie Waldeck-Frankenberg,Grundpreis,"114,24 €/Jahr",01.01.2025
Energieversorgung Apolda,Arbeitspreis,"16,45 ct/kWh",01.01.2025
Energieversorgung Apolda,Grundpreis,"138,88 €/Jahr",01.01.2025
Stadtwerke Lutherstadt Eisleben,Arbeitspreis,"12,90 ct/kWh",01.01.2025
Stadtwerke Lutherstadt Eisleben,Grundpreis,"199,02 €/Jahr",01.01.2025
Erdgas Kempten- Oberallgäu,Arbeitspreis,"11,28 ct/kWh",01.01.2025
Erdgas Kempten- Oberallgäu,Grundpreis,"142,81 €/Jahr",01.01.2025
Stadtwerke Rees,Arbeitspreis,"21,82 ct/kWh",01.01.2025
Stadtwerke Rees,Grundpreis,"164,22 €/Jahr",01.01.2025
BEW,Arbeitspreis,"13,99 ct/kWh",01.04.2025
BEW,Grundpreis,"100,00 €/Jahr",01.04.2025
Stadtwerke Glauchau,Arbeitspreis,"12,34 ct/kWh",01.01.2025
Stadtwerke Glauchau,Grundpreis,"234,19 €/Jahr",01.01.2025
Stadtwerke Hockenheim,Arbeitspreis,"12,35 ct/kWh",01.01.2025
Stadtwerke Hockenheim,Grundpreis,"214,20 €/Jahr",01.01.2025
Energie SÜdbayern,Arbeitspreis,"14,01 ct/kWh",01.10.2024
Energie SÜdbayern,Grundpreis,"251,99 €/Jahr",01.10.2024
Regionalwerk Bodensee,Arbeitspreis,"19,86 ct/kWh",01.01.2025
Regionalwerk Bodensee,Grundpreis,"171,65 €/Jahr",01.01.2025
