Anbieter,Typ,Wert,Zeitraum
Stadtwerke Burgdorf,Grundpreis,"94,80 €/Jahr",01.01.2025
Stadtwerke Schaumburg-Lippe,Arbeitspreis,"34,53 ct/kWh",01.03.2024
Stadtwerke Schaumburg-Lippe,Grundpreis,"182,45 €/Jahr",01.03.2024
Gemeindewerke Bovenden,Arbeitspreis,"34,64 ct/kWh",01.01.2025
Gemeindewerke Bovenden,Grundpreis,"142,81 €/Jahr",01.01.2025
Energiewerke Isernhagen,Arbeitspreis,"36,60 ct/kWh",01.01.2025
Energiewerke Isernhagen,Grundpreis,"142,01 €/Jahr",01.01.2025
Stadtwerke Einbeck,Arbeitspreis,"38,58 ct/kWh",01.01.2025
Stadtwerke Einbeck,Grundpreis,"154,28 €/Jahr",01.01.2025
Stadtwerke Lüdenscheid,Arbeitspreis,"39,90 ct/kWh",01.02.2025
Stadtwerke Lüdenscheid,Grundpreis,"149,95 €/Jahr",01.02.2025
Stadtwerke Lippstadt,Arbeitspreis,"32,44 ct/kWh",01.01.2025
Stadtwerke Lippstadt,Grundpreis,"157,09 €/Jahr",01.01.2025
Stadtwerke Strom Plauen,Arbeitspreis,"34,71 ct/kWh",01.01.2025
Stadtwerke Strom Plauen,Grundpreis,"115,24 €/Jahr",01.01.2025
Elektrizitätswerk Mittelbaden,Arbeitspreis,"39,79 ct/kWh",01.01.2025
Elektrizitätswerk Mittelbaden,Grundpreis,"174,32 €/Jahr",01.01.2025
Stadtwerke Sindelfingen,Arbeitspreis,"30,79 ct/kWh",01.01.2025
Stadtwerke Sindelfingen,Grundpreis,"176,24 €/Jahr",01.01.2025
Hertener Stadtwerke,Arbeitspreis,"37,85 ct/kWh",01.10.2023
Hertener Stadtwerke,Grundpreis,"129,60 €/Jahr",01.10.2023
Energieversorung Filstal,Arbeitspreis,"33,80 ct/kWh",01.01.2025
Energieversorung Filstal,Grundpreis,"154,70 €/Jahr",01.01.2025
Stadtwerke Waiblingen,Arbeitspreis,"39,23 ct/kWh",01.01.2024
Stadtwerke Waiblingen,Grundpreis,"178,50 €/Jahr",01.01.2024
Energie-Rhein-Sieg,Arbeitspreis,"26,93 ct/kWh",01.01.2025
Energie-Rhein-Sieg,Grundpreis,"216,58 €/Jahr",01.01.2025
Stadtwerke Görlitz,Arbeitspreis,"35,94 ct/kWh",01.01.2025
Stadtwerke Görlitz,Grundpreis,"143,99 €/Jahr",01.01.2025
Stadtwerke Speyer,Arbeitspreis,"37,21 ct/kWh",01.01.2025
Stadtwerke Speyer,Grundpreis,"149,84 €/Jahr",01.01.2025
Stadtwerke Rastatt,Arbeitspreis,"39,81 ct/kWh",01.01.2025
Stadtwerke Rastatt,Grundpreis,"142,51 €/Jahr",01.01.2025
Stadtwerke Willich,Arbeitspreis,"37,46 ct/kWh",01.03.2025
Stadtwerke Willich,Grundpreis,"200,02 €/Jahr",01.03.2025
